Назва файлу,  Слайд, Стаття
nsc_kipt_facility_model1.jpg, What is the NSC KIPT neutron source?, National Science Center “Kharkiv Institute of Physics and Technology”. (2004). Nuclear facility “Neutron source based on a subcritical assembly driven by an electron accelerator” [Brochure].
nsc_kipt_facility_model2.jpg, What is the NSC KIPT neutron source?, National Science Center “Kharkiv Institute of Physics and Technology”. (2004). Nuclear facility “Neutron source based on a subcritical assembly driven by an electron accelerator” [Brochure].
